zone_id,lat,lon,n_mineralized_obs,n_barren_obs,label_class,conflict,label,label_source,ndvi_mean,ndvi_std,sar_vv_mean,sar_vh_mean,lst_mean,rain_mean,elevation_m,slope_deg
r02_c10,21.675,80.155,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4107,0.1408,-9.7081,-16.887,31.132,1509.7415,292.2308,1.1481
r02_c11,21.675,80.165,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3915,0.1415,-9.4798,-16.9121,31.2111,1510.2911,295.8021,1.0408
r02_c12,21.675,80.175,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4185,0.1195,-9.5215,-16.5519,31.2084,1510.2911,288.3783,1.4729
r02_c13,21.675,80.185,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3535,0.1095,-11.422,-18.9848,31.1141,1510.2911,283.7291,2.0722
r02_c14,21.675,80.195,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4247,0.126,-9.694,-16.7345,30.9845,1510.7069,286.3791,1.3502
r02_c15,21.675,80.205,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3978,0.1356,-9.1869,-16.7021,31.0121,1530.3452,292.6018,1.2846
r02_c16,21.675,80.215,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3954,0.1373,-9.6068,-17.0651,30.8782,1530.3452,293.4643,1.1405
r02_c17,21.675,80.225,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4185,0.132,-9.8154,-16.8601,30.5139,1530.3452,293.0997,1.1043
r02_c18,21.675,80.235,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3861,0.1408,-9.9804,-17.2995,30.1173,1530.3452,292.6421,1.0806
r02_c19,21.675,80.245,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4331,0.1247,-9.2478,-16.314,30.0407,1530.3452,290.1275,1.5858
r02_c20,21.675,80.255,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3891,0.1131,-10.0627,-17.2651,30.2794,1507.9197,288.4212,2.0093
r02_c21,21.675,80.265,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3672,0.1405,-9.7777,-17.1552,30.5344,1507.7052,293.0839,1.3931
r02_c22,21.675,80.275,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3631,0.1434,-9.8475,-16.9905,30.4791,1507.7052,292.0035,1.4784
r02_c23,21.675,80.285,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3771,0.1324,-9.9722,-17.0947,30.3693,1507.7052,289.7196,1.719
r02_c24,21.675,80.295,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3331,0.1167,-10.6625,-17.7234,30.4907,1507.7052,288.0937,1.8765
r02_c25,21.675,80.305,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.355,0.1107,-9.8608,-16.9986,30.589,1527.3669,290.7692,1.5376
r02_c26,21.675,80.315,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3359,0.1173,-9.4692,-16.8949,30.4849,1528.1895,294.1618,1.5446
r02_c27,21.675,80.325,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.367,0.1036,-9.8429,-16.8809,30.4821,1528.1895,291.5733,1.402
r02_c28,21.675,80.335,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3598,0.1206,-9.793,-16.9114,30.5449,1528.1895,296.6731,1.3324
r02_c29,21.675,80.345,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3512,0.1291,-9.6864,-16.7958,30.529,1528.8975,298.415,1.4173
r03_c00,21.685,80.055,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3839,0.1332,-9.7646,-16.9524,30.7262,1473.0376,297.4891,1.3156
r03_c01,21.685,80.065,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3864,0.1334,-9.8924,-16.8566,30.7102,1473.0376,297.0906,1.0942
r03_c02,21.685,80.075,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3666,0.1276,-10.1849,-17.2343,30.7199,1473.0376,298.025,1.3771
r03_c03,21.685,80.085,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3756,0.1361,-9.8428,-16.9876,30.7235,1473.0376,295.0502,1.0577
r03_c04,21.685,80.095,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3771,0.1284,-10.1807,-17.1467,30.6897,1473.0376,299.6955,1.6608
r03_c05,21.685,80.105,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3747,0.1164,-10.0252,-17.136,30.7471,1495.8044,305.6712,1.3988
r03_c06,21.685,80.115,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3806,0.1369,-9.9771,-17.0822,30.8235,1495.9823,302.475,1.2317
r03_c07,21.685,80.125,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.401,0.1427,-9.8218,-17.0148,30.8653,1495.9823,298.0792,1.0128
r03_c08,21.685,80.135,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.414,0.1523,-9.9887,-16.9679,30.901,1495.9823,294.8577,1.1199
r03_c09,21.685,80.145,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.369,0.1374,-10.2449,-17.4219,31.0553,1495.9823,293.1549,1.2327
r03_c10,21.685,80.155,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3865,0.1547,-9.9338,-17.242,31.2399,1509.7419,296.454,1.0652
